Order #,Expected Delivery Date,Department,Class,Status,Location,Division,SO Approver Partner,ITEM CODE,ITEM NAME,ORDER QUANTITY,eBizDownloadStatus,Store Code,Indent No,Amount,Indent Date,Location,TRANSACTION TYPE,PLACE OF SUPPLY,CUSTOMER PO NO
"4","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","IT Support","5024113230","3397010053 - Wiper Eco set 21/19 in (5X1) - MRP 444","193","Edit","12772893","rfpl/finalised/104430","1","27/10/2022","OTRD : Bangalore Shell","GST Tax Invoice","Mahashtra","test2"
"4","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Bangalore Shell","Trading","IT Support","5024113234","3397004875 - Wiper Eco Set 13/13 in (5X1) - MRP 287","1023","Edit","12772893","rfpl/finalised/104430","1","27/10/2022","OTRD : Bangalore Shell","GST Tax Invoice","Mahashtra","test2"
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5012119550","Veeba Eggless Mayonnaise (1 KgX1)","1","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5012119551","Veeba Tandoori Mayonnaise (1 KgX1)","1","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5012119555","Veeba Schezwan Dip Fry Sauce (1 KgX1)","1","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5012119556","Veeba Kadhai Gravy (1 KgX1)","1","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5020118489","Shell Engine Coolant Green (12X1) - MRP 349","24","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5020118490","Shell Engine Coolant Blue (12X1) - MRP 349","24","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5020118491/1","Shell Engine Coolant Longlife Pink (12X1) - MRP 390","24","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5024119000","Shell Microfiber Cloth 50x50 2 pk (12X1) - MRP 385","5","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5024119002","Shell Microfiber Cloth 50x70 Pk (15X1) - MRP 280","5","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5025112561","Red Bull 350 ML (24X1) - MRP 145","24","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","5025113796/1","RED BULL ENERGY DRINK CAN 250ML  (24X1) - MRP 125","24","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","D2G6000013","Ambeint Plain Tortilla 8.5 Pack of 10 (1X1)","1","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"3","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Chennai Shell","Trading","IT Support","D2G6000014","Deli2Go Branded Paper Napkins 100 pc  - Pack of 24 (1X1)","6","Edit","12623461","rfpl/finalised/104429","1","17/09/2022","OTRD : Chennai Shell","GST Tax Invoice","Tamil Nadu",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5020118489","Shell Engine Coolant Green (12X1) - MRP 349","60","Edit","12640976","rfpl/finalised/104427","1","13/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
"1","01/12/2022","OTRD","RFPL : OTRD","Pending Approval","OTRD : Pune Shell","Trading","IT Support","5020118491/1","Shell Engine Coolant Longlife Pink (12X1) - MRP 390","60","Edit","12640976","rfpl/finalised/104427","1","13/09/2022","OTRD : Pune Shell","GST Tax Invoice","Maharashtra",""
